model,dataset,language,question_idx,question,answer_gt,prediction,sample0_for_se,correct,f1_squad,se_entropy,n_clusters,M,temperature,se_time_s,gen_time_s,latency_s,throughput_tokens_per_sec
TinyLlama/TinyLlama-1.1B-Chat-v1.0,trivia_qa,en,0,Who was the man behind The Chipmunks?,david seville,"The man behind The Chipmunks is David Seville, a fictional character created by American singer-songwriter Alvin, The Chip","The man behind The Chipmunks is David Seville, a fictional character created by composer Troy Donahue. He is portrayed",1,0.25,0.639032,3,10,0.5,0.314,150.273,150.58727192687988,1.82
TinyLlama/TinyLlama-1.1B-Chat-v1.0,trivia_qa,en,1,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,"The musical ""Phantom of the Opera"" premiered in the US on 10th December 1993.","The answer is ""Phantom of the Opera"" (1986).",0,0.0,1.418484,5,10,0.5,0.105,152.293,152.39816786575318,1.64
TinyLlama/TinyLlama-1.1B-Chat-v1.0,trivia_qa,en,2,Who was the next British Prime Minister after Arthur Balfour?,campbell-bannerman,The next British Prime Minister after Arthur Balfour was David Lloyd George.,The next British Prime Minister after Arthur Balfour was James Churchill. He served as Prime Minister from 1902 to 19,0,0.0,0.801819,3,10,0.5,0.106,134.596,134.70207528686524,1.92
TinyLlama/TinyLlama-1.1B-Chat-v1.0,trivia_qa,en,3,Who had a 70s No 1 hit with Kiss You All Over?,exile,"The 70s pop group Kiss had a 1975 hit with the song ""Kiss You All Over.""","The band Kiss had a 70s No 1 hit with ""Kiss You All Over.""",0,0.0,1.748067,7,10,0.5,0.101,117.508,117.60915671157836,1.91
TinyLlama/TinyLlama-1.1B-Chat-v1.0,trivia_qa,en,4,What claimed the life of singer Kathleen Ferrier?,cancer,"Kathleen Ferrier, a British contralto singer, was claimed the life of by a car accident in 1952.","Kathleen Ferrier, a British soprano, was claimed the life of by a car accident on October 12, 19",0,0.1176,1.359237,5,10,0.5,0.1,133.832,133.93171952438354,2.16
TinyLlama/TinyLlama-1.1B-Chat-v1.0,trivia_qa,en,5,Rita Coolidge sang the title song for which Bond film?,octopussy,"Rita Coolidge sang the title song for the James Bond film, ""Live and Let Die.""","The title song for the James Bond film ""Live and Let Die"" is sung by Rita Coolidge.",0,0.25,0.500402,2,10,0.5,0.087,116.525,116.61154260635377,2.1
TinyLlama/TinyLlama-1.1B-Chat-v1.0,trivia_qa,en,6,What was the last US state to reintroduce alcohol after prohibition?,utah,The last US state to reintroduce alcohol after prohibition was Alaska. Alaska was the last state to legalize alcohol in,The last US state to reintroduce alcohol after prohibition was Alaska. It was reintroduced in 1976,0,0.3077,0.639032,3,10,0.5,0.122,147.903,148.02461588668822,1.95
TinyLlama/TinyLlama-1.1B-Chat-v1.0,trivia_qa,en,7,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,The actress who was voted Miss Greenwich Village in 1942 is not specified in the given text.,The actress who was voted Miss Greenwich Village in 1942 is not specified in the given text.,0,0.0,0.325083,2,10,0.5,0.09,132.954,133.04388904953004,1.9
TinyLlama/TinyLlama-1.1B-Chat-v1.0,trivia_qa,en,8,What is the Japanese share index called?,nikkei,The Japanese share index is called the Nikkei 225.,The Japanese share index is called the Nikkei 225.,1,0.25,-0.0,1,10,0.5,0.067,97.089,97.15612055206299,1.66
TinyLlama/TinyLlama-1.1B-Chat-v1.0,trivia_qa,en,9,What was the name of Michael Jackson's autobiography written in 1988?,moonwalk,"The name of Michael Jackson's autobiography written in 1988 is ""Michael: The Autobiography.""","The name of Michael Jackson's autobiography written in 1988 is ""This Is It.""",0,0.0,-0.0,1,10,0.5,0.1,143.499,143.59852425956726,1.88
