model,dataset,language,question_idx,question,answer_gt,prediction,sample0_for_se,correct,f1_squad,se_entropy,n_clusters,M,temperature,se_time_s,gen_time_s,latency_s,throughput_tokens_per_sec
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,0,Who was the man behind The Chipmunks?,david seville,"The man behind The Chipmunks is Charles M. Schulz, an American cartoonist and animator who created the beloved animated characters in the 1",The man behind The Chipmunks is Chuck Jones.,0,0.0,1.834372,7,10,0.5,0.281,214.095,214.37571093559265,0.73
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,1,Which Lloyd Webber musical premiered in the US on 10th December 1993?,sunset boulevard,"The Lloyd Webber musical that premiered in the US on 10th December 1993 is ""The Phantom of the Opera"".",West Side Story (1993),0,0.0,0.500402,2,10,0.5,0.084,445.524,445.60750801467896,0.58
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,2,Who was the next British Prime Minister after Arthur Balfour?,campbell-bannerman,David Cameron.,John Major.,0,0.0,1.497866,6,10,0.5,0.034,110.382,110.41600015830994,0.41
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,3,Who had a 70s No 1 hit with Kiss You All Over?,exile,"Kiss You All Over was a 1973 song by the British rock band The Rolling Stones, released as their first single from their album",Kiss You All Over was a 70s No 1 hit by the American rock band Kiss.,0,0.0,0.500402,2,10,0.5,0.088,389.786,389.8735201225281,0.72
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,4,What claimed the life of singer Kathleen Ferrier?,cancer,"Kathleen Ferrier died on February 27, 1986.","Kathleen Ferrier was killed by a car accident on December 16, 2005.",0,0.0,1.695743,6,10,0.5,0.068,294.014,294.08151465797425,0.67
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,5,Rita Coolidge sang the title song for which Bond film?,octopussy,"""Goldfinger"" (1964)",Casino Royale (1967),0,0.0,1.227529,5,10,0.5,0.05,196.515,196.5645171546936,0.58
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,6,What was the last US state to reintroduce alcohol after prohibition?,utah,Alaska.,Alaska.,0,0.0,-0.0,1,10,0.5,0.024,93.752,93.77600135993957,0.41
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,7,Which actress was voted Miss Greenwich Village in 1942?,lauren bacall,Joan Crawford,Alice Comden and Anne Hathaway.,0,0.4,2.302585,10,10,0.5,0.051,115.619,115.66950587654114,0.45
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,8,What is the Japanese share index called?,nikkei,Nikkei 225 Index,Nikkei 225 Index,1,0.5,-0.0,1,10,0.5,0.045,168.082,168.12700937461852,0.61
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,9,What was the name of Michael Jackson's autobiography written in 1988?,moonwalk,"The name of Michael Jackson's autobiography written in 1988 is ""Michael Jackson: The Life and Times.""","The name of Michael Jackson's autobiography written in 1988 is ""Moonwalk: The Autobiography of Michael Jackson"".",0,0.0,0.610864,2,10,0.5,0.099,326.425,326.5235269546509,0.67
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,10,In which decade did stereo records first go on sale?,1930s,1950s,1940s,0,0.0,-0.0,1,10,0.5,0.029,118.857,118.88551510047913,0.54
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,11,In what year's Olympics were electric timing devices and a public-address system used for the first ,"in 1912, in stockholm",1908.,1908.,0,0.0,0.610864,2,10,0.5,0.05,122.453,122.50314514923096,0.49
Qwen/Qwen1.5-1.8B-Chat,trivia_qa,en,12,Which volcano in Tanzania is the highest mountain in Africa?,kilimanjaro,Mount Kilimanjaro,Mount Kilimanjaro.,1,1.0,-0.0,1,10,0.5,0.028,115.417,115.44499916267395,0.53
